park,sex,horn,feeding
serengeti,male,56.5,26.9
serengeti,male,57.1,27.9
serengeti,male,64.1,32.6
serengeti,male,58.6,34.4
serengeti,male,60.1,30.8
serengeti,male,61.5,29.8
serengeti,male,63.8,32.8
serengeti,male,56.2,30.3
serengeti,male,61.5,32.1
serengeti,male,64.1,29.3
serengeti,male,61.7,31.6
serengeti,male,52,33.6
serengeti,male,55.9,28.3
serengeti,male,51.7,31.2
serengeti,male,63.9,31.8
serengeti,male,59.5,29.1
serengeti,male,54.5,34.8
serengeti,male,67.1,36.8
serengeti,male,59.4,28.8
serengeti,male,57.7,29.1
serengeti,male,55.7,32.1
serengeti,male,64.7,34.4
serengeti,male,69.3,29.7
serengeti,male,63.5,26.9
serengeti,male,70.4,32.1
serengeti,male,56.9,22.8
serengeti,male,49.1,27.3
serengeti,male,64,34.6
serengeti,male,60.4,34.7
serengeti,male,61.4,30.2
serengeti,male,58.8,27.6
serengeti,male,53.7,30.1
serengeti,male,62.2,30.4
serengeti,male,59.5,29.4
serengeti,male,65.8,37
serengeti,male,61.2,28.4
serengeti,male,55.5,32.1
serengeti,male,53.6,24.9
serengeti,male,66,28.8
serengeti,male,66.3,29.1
serengeti,male,64.8,27.6
serengeti,male,57.8,32.1
serengeti,male,56.7,32.9
serengeti,male,64.1,28.9
serengeti,male,63.1,28.2
serengeti,male,58.4,33.3
serengeti,male,69.9,30.2
serengeti,male,51.4,30.2
serengeti,male,66.1,30.3
serengeti,male,57,26.2
serengeti,female,34.9,31.4
serengeti,female,32.4,29.7
serengeti,female,39.7,25.8
serengeti,female,40.8,32.8
serengeti,female,41.7,27.7
serengeti,female,40.9,30.3
serengeti,female,40.9,30.5
serengeti,female,43.8,24.9
serengeti,female,43.2,34.7
serengeti,female,30,31.2
serengeti,female,38.8,30.2
serengeti,female,46.6,32.2
serengeti,female,38.3,23.7
serengeti,female,47,30.4
serengeti,female,48.4,26.4
serengeti,female,48.8,32.6
serengeti,female,32,34.4
serengeti,female,36,28.6
serengeti,female,43,25.3
serengeti,female,28.1,33.3
serengeti,female,44.9,30.5
serengeti,female,40.8,26.3
serengeti,female,41.7,33
serengeti,female,45.9,33.4
serengeti,female,37,37
serengeti,female,45.8,33.4
serengeti,female,39.1,27.5
serengeti,female,33.1,28.9
serengeti,female,39.8,29.7
serengeti,female,31.7,30
serengeti,female,30.2,28.3
serengeti,female,46.5,31
serengeti,female,44.8,33.3
serengeti,female,43.6,29.2
serengeti,female,43.2,31.8
serengeti,female,47.6,31.6
serengeti,female,42.7,32.8
serengeti,female,31,26.5
serengeti,female,37.6,27.9
serengeti,female,44.6,25.4
serengeti,female,40,27.9
serengeti,female,35.9,31.2
serengeti,female,35.1,32.7
serengeti,female,34.2,29.2
serengeti,female,36.7,26.4
serengeti,female,41.1,27.6
serengeti,female,39.9,31.6
serengeti,female,37.7,27.7
serengeti,female,38.7,29
serengeti,female,36.2,30.7
ngorngoro,male,62.9,20.8
ngorngoro,male,57.9,20
ngorngoro,male,54.9,19.4
ngorngoro,male,63.4,17
ngorngoro,male,62,16.5
ngorngoro,male,64.9,18.2
ngorngoro,male,62.2,27.9
ngorngoro,male,58.3,20.2
ngorngoro,male,52.7,19.5
ngorngoro,male,60.2,15.6
ngorngoro,male,58.2,22.9
ngorngoro,male,59.6,18
ngorngoro,male,60.5,22.6
ngorngoro,male,56.2,20.8
ngorngoro,male,60.7,21.4
ngorngoro,male,60.9,19
ngorngoro,male,55.4,14.4
ngorngoro,male,53.6,19.1
ngorngoro,male,58.1,18
ngorngoro,male,55.9,19.1
ngorngoro,male,57.2,20.2
ngorngoro,male,57.3,19.4
ngorngoro,male,64.6,21.4
ngorngoro,male,56.1,21.4
ngorngoro,male,53.3,17.2
ngorngoro,male,60,15.7
ngorngoro,male,53.9,16.6
ngorngoro,male,59.1,21.6
ngorngoro,male,59.4,18.8
ngorngoro,male,55.2,16.2
ngorngoro,male,56.8,21
ngorngoro,male,56.6,21.1
ngorngoro,male,58.7,19.3
ngorngoro,female,43.6,23.4
ngorngoro,female,45.6,16.5
ngorngoro,female,37.7,17.9
ngorngoro,female,41.5,22
ngorngoro,female,41.7,19.1
ngorngoro,female,39.1,17.7
ngorngoro,female,41.1,19.1
ngorngoro,female,30.9,19
ngorngoro,female,37.9,16.3
ngorngoro,female,38.5,17.5
ngorngoro,female,43.7,18.6
ngorngoro,female,35.2,20.1
ngorngoro,female,40,20
ngorngoro,female,52.9,21.1
ngorngoro,female,34.4,23.8
ngorngoro,female,35.2,20
ngorngoro,female,29.7,21.1
ngorngoro,female,41.5,21.6
ngorngoro,female,37.7,24
ngorngoro,female,38.1,19.5
ngorngoro,female,45.6,23.9
ngorngoro,female,41.9,23.9
ngorngoro,female,39.8,17.6
ngorngoro,female,33.2,19.9
ngorngoro,female,46.1,19.6
ngorngoro,female,46.1,21.2
ngorngoro,female,46.2,24.3
ngorngoro,female,33.2,16.4
ngorngoro,female,42.7,18.6
ngorngoro,female,34.4,21.5
ngorngoro,female,38.6,26.7
ngorngoro,female,46.2,18.1
ngorngoro,female,44.5,23.1
