weight,sex,pop
40,male,s
41.9,female,w
40.6,female,n
38.9,male,w
41.6,female,n
39.8,male,s
41,female,n
40.5,female,n
39.8,male,w
39.8,male,w
40,male,e
38.8,male,e
38.4,male,w
40.9,female,s
40.1,male,e
39.7,male,s
41.2,female,s
41.6,female,e
41.3,female,s
39.3,male,n
40.5,female,s
40.1,male,w
39.3,male,w
41,female,s
39.9,male,e
39.4,male,n
41.4,female,n
39.3,male,n
38.7,male,e
42.1,female,s
41.3,female,n
39.3,male,w
41.2,female,e
40.6,female,s
39.4,male,n
40.2,male,s
39.3,male,s
40.8,female,w
39.9,male,n
41.4,female,s
43.2,female,n
38.7,male,e
41.3,female,e
39.1,male,s
41.5,female,n
39.9,male,e
40.4,female,s
40.7,female,w
39.3,male,s
40.3,male,s
41.7,female,e
39.7,male,w
41.9,female,w
41.2,female,w
40,male,s
39.8,male,w
40.8,female,w
39.6,male,s
40.1,male,w
40.8,female,s
39.9,male,n
39.3,male,n
40.1,male,s
39.4,male,n
40.1,male,w
38.7,male,n
40.2,male,e
42.3,female,w
40,male,n
41,female,n
41.6,female,e
41.1,female,s
40.8,female,e
41.3,female,w
40.2,male,n
40.3,female,e
41.3,female,e
41.7,female,e
42.5,female,s
39.7,male,w
41,female,w
40.3,female,w
39,male,w
40.3,female,e
41.7,female,n
39,male,s
39.2,male,e
40.6,female,s
41.1,female,w
40.4,female,s
39.4,male,n
42.4,female,s
41.2,female,s
40.9,female,w
41.4,female,e
39.5,male,s
39.7,male,w
41.1,female,e
41.3,female,n
40.3,female,s
