width,location
2.5,Alpine
2.5,Alpine
2.5,Alpine
2.4,Alpine
2.4,Alpine
2.4,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.3,Alpine
2.2,Alpine
2.2,Alpine
2.2,Alpine
2.1,Alpine
2.1,Alpine
2.1,Alpine
2.1,Alpine
2.1,Alpine
2.1,Alpine
2.0,Alpine
2.0,Alpine
2.0,Alpine
2.0,Alpine
2.0,Alpine
2.0,Alpine
1.9,Alpine
1.9,Alpine
1.9,Alpine
1.9,Alpine
1.9,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Alpine
1.8,Forest
1.7,Alpine
1.7,Forest
1.6,Alpine
1.6,Forest
1.6,Forest
1.6,Forest
1.5,Alpine
1.5,Alpine
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.5,Forest
1.4,Alpine
1.4,Forest
1.4,Forest
1.4,Forest
1.4,Forest
1.4,Forest
1.4,Forest
1.4,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.3,Forest
1.2,Forest
1.2,Forest
1.2,Forest
1.2,Forest
1.2,Forest
1.1,Forest
1.1,Forest
1.1,Forest
1.1,Lowland
1.0,Forest
1.0,Forest
1.0,Forest
1.0,Forest
1.0,Forest
1.0,Forest
1.0,Forest
0.9,Lowland
0.9,Lowland
0.8,Lowland
0.8,Lowland
0.7,Lowland
0.7,Lowland
0.6,Lowland
0.6,Lowland
0.5,Lowland
0.5,Lowland
0.5,Lowland
0.5,Lowland
0.5,Lowland
0.5,Lowland
0.5,Lowland
0.4,Lowland
0.4,Lowland
0.4,Lowland
0.4,Lowland
0.4,Lowland
0.4,Lowland
0.4,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.3,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.2,Lowland
0.1,Lowland
0.1,Lowland
0.1,Lowland
0.1,Lowland
