transect_number,weta_count,beetle_abund,rat_abund
1,14,80,29
2,32,36,5
3,15,36,47
4,4,36,34
5,11,80,24
6,22,36,8
7,11,80,30
8,10,36,38
9,16,36,13
10,15,80,31
11,20,36,13
12,8,36,44
13,11,36,21
14,12,80,26
15,7,36,54
16,23,80,28
17,10,36,34
18,24,36,12
20,23,19,4
21,20,19,23
22,15,19,20
23,15,63,14
24,23,19,6
25,12,63,17
26,21,19,18
27,20,19,3
28,18,63,15
29,27,19,3
30,16,19,20
31,10,19,7
32,12,63,19
33,8,19,24
35,14,19,14
36,42,19,0
37,9,59,16
38,20,16,6
39,19,16,25
40,15,16,25
42,18,16,10
43,30,59,8
44,8,16,21
45,20,16,10
46,13,59,17
47,27,16,3
48,13,16,30
49,10,16,7
51,11,16,27
52,14,59,21
53,9,16,30
54,12,16,10
55,21,100,13
56,19,70,2
57,10,70,19
59,18,100,12
60,31,70,5
61,22,100,9
62,25,70,10
63,14,70,11
64,22,100,12
65,12,70,17
66,22,70,13
67,16,70,14
68,9,100,23
69,14,70,24
71,22,70,11
72,25,70,10
73,24,96,5
74,23,52,9
75,20,52,13
76,20,52,11
77,27,96,8
78,16,52,5
79,25,96,3
80,17,52,4
81,21,52,10
82,26,96,0
83,17,52,4
84,21,52,4
85,22,52,12
86,31,96,1
87,22,52,10
88,32,96,0
89,15,52,8
90,26,52,4
91,11,100,32
92,21,73,8
93,12,73,31
94,20,73,19
95,21,100,19
96,24,73,4
97,22,100,8
98,15,73,14
99,15,73,4
100,17,100,11
101,27,73,9
102,19,73,7
103,25,73,11
104,10,100,15
105,12,73,25
106,18,100,21
107,19,73,19
108,20,73,4
109,15,91,14
110,23,48,10
111,11,48,15
112,25,48,23
113,13,91,9
114,31,48,0
115,25,91,11
116,25,48,12
117,22,48,6
118,15,91,22
119,36,48,0
120,15,48,17
121,28,48,8
122,19,91,12
123,13,48,24
124,25,91,9
125,14,48,14
126,26,48,9
127,13,62,20
128,20,18,1
129,8,18,14
130,24,18,16
131,15,62,13
132,31,18,3
133,15,62,13
134,11,18,7
135,22,18,5
136,20,62,6
137,31,18,0
138,19,18,15
139,28,18,4
140,7,62,19
141,18,18,23
142,2,62,28
143,0,18,35
144,23,18,8
145,18,58,10
146,20,14,15
148,23,14,15
150,26,14,2
151,18,58,3
152,25,14,11
153,33,14,2
154,19,58,15
155,36,14,0
156,22,14,18
157,11,14,17
158,18,58,12
160,5,58,28
161,17,14,23
162,30,14,2
163,21,73,21
164,18,30,13
165,29,30,14
166,11,30,21
167,13,73,11
168,18,30,15
169,20,73,10
170,20,30,16
171,23,30,12
172,23,73,9
173,13,30,9
174,20,30,22
175,16,30,20
176,14,73,19
177,10,30,32
178,16,73,16
179,19,30,19
180,22,30,7
181,6,83,17
182,12,40,20
183,1,40,21
184,15,40,25
185,27,83,13
186,21,40,7
187,6,83,21
188,12,40,14
190,19,83,7
192,16,40,11
193,12,40,34
194,6,83,39
195,14,40,25
196,12,83,30
197,14,40,21
198,16,40,10
