height,weight
1.20,53.6
1.22,53.7
1.24,51.0
1.26,54.9
1.28,57.9
1.30,61.3
1.32,58.6
1.34,63.0
1.36,61.1
1.38,68.8
1.40,63.2
1.42,72.3
1.44,67.9
1.46,60.7
1.48,68.4
1.50,61.4
1.52,64.9
1.54,72.4
1.56,70.6
1.58,74.1
1.60,69.4
1.62,60.3
1.64,68.0
1.66,63.6
1.68,72.4
1.70,84.7
1.72,83.0
1.74,68.2
1.76,83.8
1.78,86.6
1.80,95.4
1.82,75.1
1.84,86.7
1.86,79.1
1.88,93.2
1.90,87.9
1.92,88.9
1.94,91.8
1.96,92.7
1.98,87.8
2.00,92.4
2.02,94.1
2.04,97.3
2.06,97.7
2.08,92.3
2.10,99.6
2.12,90.1
2.14,99.8
2.16,95.8
2.18,95.9
2.20,95.0
