elevation,flex.index
0.1,2.783869514
0.2,3.353969349
0.3,4.513889522
0.4,5.08853644
0.5,5.888826157
0.6,7.624971204
0.7,7.669128443
0.8,8.512678598
0.9,8.359693986
1,8.813376767
1.1,8.401785335
1.2,8.055621557
1.3,8.783226984
1.4,8.773159671
1.5,10.38833988
1.6,8.482952647
1.7,7.967791956
1.8,10.27169937
1.9,9.441195163
2,9.65296557
2.1,9.895895326
2.2,11.18676937
2.3,9.569115379
2.4,9.91893094
2.5,10.66899273
2.6,9.779901931
2.7,9.195003923
2.8,11.30555342
2.9,9.315427163
3,10.70045608
3.1,10.7345673
3.2,10.82709984
3.3,11.18981785
3.4,11.63079243
3.5,10.64706375
3.6,9.645225786
3.7,11.72507566
3.8,8.981308181
3.9,10.51364502
4,10.84936948
4.1,9.899349238
4.2,10.81747892
4.3,11.09354998
4.4,12.69468257
4.5,10.20238479
4.6,9.978133779
4.7,11.30157448
4.8,11.04019883
4.9,9.176376024
5,11.56044388
